device_id,total_txns,avg_amount,avg_fraud_score,suspicious_txns,dominant_agent_type,max_attempt_count,suspicious_rate_pct
device_006dd605-a14f-46,11,62.71000000000001,19.181818181818183,0,bot,11,0.0
device_0150e157-2011-44,1,1617.26,0.0,0,normal,1,0.0
device_017f486f-51b5-48,11,1301.5854545454547,6.0,0,dormant,11,0.0
device_02d5eae3-0791-4b,55,815.9345454545455,11.745454545454546,0,normal,55,0.0
device_035b45d9-faa2-42,1,228.68,0.0,0,normal,1,0.0
device_03ea15be-937c-4e,11,501.92727272727274,11.727272727272727,0,impatient,11,0.0
device_06b18b74-0b98-46,11,55.377272727272725,32.36363636363637,0,fraud,11,0.0
device_073f5531-2833-4b,110,54.49209090909091,60.4,95,fraud,110,86.36
device_085e7448-0579-4d,55,703.564,10.527272727272727,0,normal,55,0.0
device_0a608b3b-5492-42,55,891.0210909090908,10.581818181818182,0,normal,55,0.0
device_0a893735-3842-4a,4,104.05749999999999,3.5,0,normal,4,0.0
device_0aca3a40-d229-4d,11,630.4163636363636,9.545454545454545,0,impatient,11,0.0
device_0c798a13-71d7-4e,11,1627.619090909091,8.272727272727273,0,dormant,11,0.0
device_10a8e512-e7d6-46,11,2280.3554545454544,8.272727272727273,0,dormant,11,0.0
device_10ebf621-1ab2-4b,55,606.5330909090909,11.2,0,normal,55,0.0
device_1206f1df-05e9-46,11,2059.2845454545454,8.545454545454545,0,dormant,11,0.0
device_134c2fe1-7459-41,55,945.1114545454545,10.654545454545454,0,normal,55,0.0
device_1383c184-5cd0-48,11,412.75,8.272727272727273,0,impatient,11,0.0
device_13bc2107-541f-4d,11,42.02727272727273,32.36363636363637,1,fraud,11,9.09
device_155a38db-f40f-46,11,1230.889090909091,12.181818181818182,0,dormant,11,0.0
device_158cccb2-8a66-4e,11,46.237272727272725,34.18181818181818,3,fraud,11,27.27
device_1747f5ef-ed0a-40,55,755.0005454545454,12.163636363636364,0,normal,55,0.0
device_17fae282-b2f8-48,11,449.31999999999994,12.727272727272727,0,bot,11,0.0
device_186ddd8c-0c0a-41,11,620.8018181818181,13.181818181818182,0,impatient,11,0.0
device_186f3c59-e79e-44,1,68.38,0.0,0,normal,1,0.0
device_18c3dd3d-7e06-45,55,1290.4245454545455,10.654545454545454,0,normal,55,0.0
device_1a01d502-6621-40,11,89.56,18.272727272727273,0,bot,11,0.0
device_1a146d7b-c3f7-44,1,144.74,0.0,0,normal,1,0.0
device_1c23282d-9011-4f,11,428.5199999999999,14.636363636363637,0,bot,11,0.0
device_1d8b4721-5ee1-49,110,50.521454545454546,60.49090909090909,96,fraud,110,87.27
device_1e1d6be0-017d-4c,11,41.446363636363635,32.36363636363637,0,fraud,11,0.0
device_1ea3435a-1be4-4b,110,1726.2605454545455,28.963636363636365,0,dormant,110,0.0
device_1f2bf427-3ed1-42,11,56.72,19.181818181818183,0,bot,11,0.0
device_1f78eaa1-f4cc-46,11,1948.4354545454546,8.545454545454545,0,dormant,11,0.0
device_1f901afe-a1df-43,55,769.2714545454545,10.654545454545454,0,normal,55,0.0
device_221974bc-8ee3-4d,11,316.6281818181818,11.818181818181818,0,impatient,11,0.0
