txn_id,razorpay_payment_id,timestamp,device_id,ip_address,agent_type,amount,amount_slab,payment_method,upi_app,bank,status,error_code,fraud_score,is_suspicious,has_upi_switching,switching_pct,has_high_velocity,velocity_count,hour_of_day,is_night_transaction,is_weekend,attempt_count
6126,pay_KFKEPVIA8HQ74B,2025-12-24 19:16:39.745684,device_c43078c7-ea54-4a,103.245.141.81,dormant,809.42,large,upi,BHIM,BOB,success,NONE,7.0,False,True,80.0,False,0,19,False,False,7
6125,pay_1YIDYT0IHDIYKT,2025-12-24 19:16:39.631577,device_af5deff8-284a-4a,103.248.131.250,dormant,6146.09,very_large,upi,GPay,Axis,success,NONE,14.0,False,True,77.78,True,7,19,False,False,11
6124,pay_2AFOIPFEKZQJLQ,2025-12-24 19:16:39.603167,device_ef322e13-4428-49,103.34.235.49,dormant,62.78,medium,upi,PhonePe,SBI,success,NONE,7.0,False,True,100.0,False,0,19,False,False,4
6123,pay_3ORVS33HR9X98O,2025-12-24 19:16:39.529395,device_e4192be0-471d-47,103.102.124.154,dormant,1406.65,large,upi,Paytm,BOB,failed,UPI_AUTHENTICATION_FAILED,7.0,False,True,100.0,False,0,19,False,False,5
6122,pay_DMHL40UY3YNX6O,2025-12-24 19:16:39.403120,device_7dc62300-cf58-44,103.27.12.72,normal,1931.69,large,upi,Amazon Pay,Axis,success,NONE,7.0,False,True,100.0,False,0,19,False,False,6
6121,pay_JHSNVS8GHU3AYX,2025-12-24 19:16:37.258639,device_ad8e64ce-1785-40,103.96.147.55,dormant,1242.71,large,upi,PhonePe,Kotak,success,NONE,7.0,False,True,80.0,False,0,19,False,False,7
6120,pay_VI2M5ULQ17IYGX,2025-12-24 19:16:36.738573,device_e6cd67b5-6117-4d,103.56.168.232,dormant,7871.47,very_large,upi,PayZapp,PNB,success,NONE,14.0,False,True,83.33,True,5,19,False,False,8
6119,pay_4A62LFOZ5CRG5K,2025-12-24 19:16:35.584202,device_c78bc216-7ae8-48,103.219.23.3,dormant,82.81,medium,upi,Paytm,BOB,success,NONE,7.0,False,True,100.0,False,0,19,False,False,7
6118,pay_U7NN13KNYIUYOV,2025-12-24 19:16:33.752526,device_8d85900a-d6f3-42,103.249.152.235,dormant,1638.58,large,upi,Amazon Pay,HDFC,success,NONE,7.0,False,True,66.67,False,0,19,False,False,5
6117,pay_FBPWXZXJ7B91I8,2025-12-24 19:16:33.701929,device_c43078c7-ea54-4a,103.245.141.81,dormant,1243.49,large,upi,PayZapp,BOB,failed,INSUFFICIENT_FUNDS,7.0,False,True,75.0,False,0,19,False,False,6
6116,pay_DCS6OT7UPYL8WZ,2025-12-24 19:16:33.366651,device_af5deff8-284a-4a,103.248.131.250,dormant,283.32,medium,upi,WhatsApp Pay,BOB,success,NONE,14.0,False,True,75.0,True,7,19,False,False,10
6115,pay_Z8GWOCCF4UBEAR,2025-12-24 19:16:31.900286,device_34cab351-e0b2-48,103.10.148.240,normal,4406.98,very_large,upi,GPay,PNB,failed,DEBIT_FAILED,7.0,False,True,60.0,False,0,19,False,False,7
6114,pay_4XDLVLVPHLUBSK,2025-12-24 19:16:29.690880,device_ef322e13-4428-49,103.34.235.49,dormant,390.13,medium,upi,PhonePe,Canara,success,NONE,7.0,False,True,100.0,False,0,19,False,False,3
6113,pay_XXY23UJS5I8I3V,2025-12-24 19:16:29.657735,device_e4192be0-471d-47,103.102.124.154,dormant,1570.26,large,upi,WhatsApp Pay,Axis,success,NONE,7.0,False,True,100.0,False,0,19,False,False,4
6112,pay_ONKKYAO5N49A2A,2025-12-24 19:16:29.098169,device_ad8e64ce-1785-40,103.96.147.55,dormant,725.77,large,upi,BHIM,BOB,failed,INSUFFICIENT_FUNDS,7.0,False,True,75.0,False,0,19,False,False,6
