txn_id,razorpay_payment_id,timestamp,device_id,ip_address,agent_type,amount,amount_slab,payment_method,upi_app,bank,status,error_code,fraud_score,is_suspicious,has_upi_switching,switching_pct,has_high_velocity,velocity_count,hour_of_day,is_night_transaction,is_weekend,attempt_count,payment_method_enc,upi_app_enc,bank_enc,status_enc,amount_slab_enc,iso_anomaly,iso_risk_score,iso_flag,rule_flag
6126,pay_KFKEPVIA8HQ74B,2025-12-24 19:16:39.745684,device_c43078c7-ea54-4a,103.245.141.81,dormant,809.42,large,upi,BHIM,BOB,success,NONE,7.0,False,True,80.0,False,0,19,0,0,7,0,1,1,1,0,1,-0.0782973814955637,0,0
6125,pay_1YIDYT0IHDIYKT,2025-12-24 19:16:39.631577,device_af5deff8-284a-4a,103.248.131.250,dormant,6146.09,very_large,upi,GPay,Axis,success,NONE,14.0,False,True,77.78,True,7,19,0,0,11,0,2,0,1,3,-1,0.050144860377801415,1,0
6124,pay_2AFOIPFEKZQJLQ,2025-12-24 19:16:39.603167,device_ef322e13-4428-49,103.34.235.49,dormant,62.78,medium,upi,PhonePe,SBI,success,NONE,7.0,False,True,100.0,False,0,19,0,0,4,0,5,7,1,1,1,-0.08752845437165102,0,0
6123,pay_3ORVS33HR9X98O,2025-12-24 19:16:39.529395,device_e4192be0-471d-47,103.102.124.154,dormant,1406.65,large,upi,Paytm,BOB,failed,UPI_AUTHENTICATION_FAILED,7.0,False,True,100.0,False,0,19,0,0,5,0,4,1,0,0,1,-0.04104585938844618,0,0
6122,pay_DMHL40UY3YNX6O,2025-12-24 19:16:39.403120,device_7dc62300-cf58-44,103.27.12.72,normal,1931.69,large,upi,Amazon Pay,Axis,success,NONE,7.0,False,True,100.0,False,0,19,0,0,6,0,0,0,1,0,1,-0.03525974119831854,0,0
6121,pay_JHSNVS8GHU3AYX,2025-12-24 19:16:37.258639,device_ad8e64ce-1785-40,103.96.147.55,dormant,1242.71,large,upi,PhonePe,Kotak,success,NONE,7.0,False,True,80.0,False,0,19,0,0,7,0,5,5,1,0,1,-0.08335959656836406,0,0
6120,pay_VI2M5ULQ17IYGX,2025-12-24 19:16:36.738573,device_e6cd67b5-6117-4d,103.56.168.232,dormant,7871.47,very_large,upi,PayZapp,PNB,success,NONE,14.0,False,True,83.33,True,5,19,0,0,8,0,3,6,1,3,-1,0.04267272241823661,1,0
6119,pay_4A62LFOZ5CRG5K,2025-12-24 19:16:35.584202,device_c78bc216-7ae8-48,103.219.23.3,dormant,82.81,medium,upi,Paytm,BOB,success,NONE,7.0,False,True,100.0,False,0,19,0,0,7,0,4,1,1,1,1,-0.11756955411664016,0,0
6118,pay_U7NN13KNYIUYOV,2025-12-24 19:16:33.752526,device_8d85900a-d6f3-42,103.249.152.235,dormant,1638.58,large,upi,Amazon Pay,HDFC,success,NONE,7.0,False,True,66.67,False,0,19,0,0,5,0,0,3,1,0,1,-0.04572955196170414,0,0
6117,pay_FBPWXZXJ7B91I8,2025-12-24 19:16:33.701929,device_c43078c7-ea54-4a,103.245.141.81,dormant,1243.49,large,upi,PayZapp,BOB,failed,INSUFFICIENT_FUNDS,7.0,False,True,75.0,False,0,19,0,0,6,0,3,1,0,0,1,-0.04006847439819228,0,0
6116,pay_DCS6OT7UPYL8WZ,2025-12-24 19:16:33.366651,device_af5deff8-284a-4a,103.248.131.250,dormant,283.32,medium,upi,WhatsApp Pay,BOB,success,NONE,14.0,False,True,75.0,True,7,19,0,0,10,0,6,1,1,1,1,-0.06604511038483574,0,0
6115,pay_Z8GWOCCF4UBEAR,2025-12-24 19:16:31.900286,device_34cab351-e0b2-48,103.10.148.240,normal,4406.98,very_large,upi,GPay,PNB,failed,DEBIT_FAILED,7.0,False,True,60.0,False,0,19,0,0,7,0,2,6,0,3,-1,0.0384326720711039,1,0
6114,pay_4XDLVLVPHLUBSK,2025-12-24 19:16:29.690880,device_ef322e13-4428-49,103.34.235.49,dormant,390.13,medium,upi,PhonePe,Canara,success,NONE,7.0,False,True,100.0,False,0,19,0,0,3,0,5,2,1,1,1,-0.1151758942033918,0,0
6113,pay_XXY23UJS5I8I3V,2025-12-24 19:16:29.657735,device_e4192be0-471d-47,103.102.124.154,dormant,1570.26,large,upi,WhatsApp Pay,Axis,success,NONE,7.0,False,True,100.0,False,0,19,0,0,4,0,6,0,1,0,1,-0.030966053391064063,0,0
6112,pay_ONKKYAO5N49A2A,2025-12-24 19:16:29.098169,device_ad8e64ce-1785-40,103.96.147.55,dormant,725.77,large,upi,BHIM,BOB,failed,INSUFFICIENT_FUNDS,7.0,False,True,75.0,False,0,19,0,0,6,0,1,1,0,0,1,-0.03872615040342997,0,0
6111,pay_R9EYX0K3UBHILK,2025-12-24 19:16:28.211633,device_e6cd67b5-6117-4d,103.56.168.232,dormant,428.34,medium,upi,Paytm,SBI,success,NONE,7.0,False,True,100.0,False,0,19,0,0,7,0,4,7,1,1,1,-0.09585449917761885,0,0
6110,pay_SL3XV3IK0SYRRZ,2025-12-24 19:16:27.703070,device_c43078c7-ea54-4a,103.245.141.81,dormant,2694.95,very_large,upi,PhonePe,SBI,success,NONE,7.0,False,True,100.0,False,0,19,0,0,5,0,5,7,1,3,-1,0.0015902830026315318,1,0
6109,pay_QGOEZ70EZLK7BA,2025-12-24 19:16:27.660275,device_c78bc216-7ae8-48,103.219.23.3,dormant,1699.39,large,upi,GPay,Axis,success,NONE,7.0,False,True,100.0,False,0,19,0,0,6,0,2,0,1,0,1,-0.055201239336649,0,0
6108,pay_Z941YQ69XPNEY3,2025-12-24 19:16:27.627583,device_a3b0df17-725f-49,103.204.78.17,dormant,500.11,large,upi,PayZapp,PNB,success,NONE,14.0,False,True,88.89,True,8,19,0,0,11,0,3,6,1,0,1,-0.057343525599084066,0,0
6107,pay_F798NREBMBO43L,2025-12-24 19:16:25.185788,device_98329875-2516-4d,103.6.14.162,dormant,1029.5,large,upi,WhatsApp Pay,PNB,success,NONE,14.0,False,True,77.78,True,8,19,0,0,11,0,6,6,1,0,1,-0.028085019187020666,0,0
6106,pay_21V4A36MUUJBPI,2025-12-24 19:16:24.799758,device_af5deff8-284a-4a,103.248.131.250,dormant,1007.66,large,upi,Paytm,PNB,success,NONE,14.0,False,True,71.43,True,6,19,0,0,9,0,4,6,1,0,1,-0.05187919880358849,0,0
6105,pay_YFSDX1K9K3Z166,2025-12-24 19:16:24.028924,device_e4192be0-471d-47,103.102.124.154,dormant,215.51,medium,upi,Paytm,Canara,success,NONE,7.0,False,True,100.0,False,0,19,0,0,3,0,4,2,1,1,1,-0.12339001471081407,0,0
